# channels: 2, sample rate: 44100, bits per sample: 16
# start_pos, max_volume_pos, end_pos
4824884,4830076,4833764
5004124,5008020,5012972
5128764,5132700,5137584
5797568,5803196,5806460
6713984,6717884,6722812
6776084,6781384,6784928
7169360,7175260,7178200
7356728,7361244,7365616
10468724,10473516,10477560
11905540,11909968,11914388
14878420,14883212,14887240
15459296,15463764,15468336
16066004,16070580,16075080
17708336,17713196,17717416
17877772,17880544,17886628
18047868,18051380,18056740
18065624,18069312,18074464
21918404,21921220,21927228
22116376,22120292,22125496
23841636,23844804,23850784
28492356,28499180,28501272
28554456,28561388,28563480
